Letter,64-Bit Vector
A,0011110001000010100000011111111110000001100000011000000110000001
B,1111110010000010100000101111110010000010100000101000001011111100
C,0111111010000001100000001000000010000000100000001000000101111110
D,1111110010000010100000011000000110000001100000011000001011111100
E,1111111110000000100000001111111010000000100000001000000011111111
F,1111111110000000100000001111111010000000100000001000000010000000
G,0111111010000001100000001000011110000001100000011000000101111110
H,1000000110000001100000011111111110000001100000011000000110000001
I,0111111000011000000110000001100000011000000110000001100001111110
J,0111111100000110000001100000011000000110100001101000011001111110
K,1000010010001000100100001110000011100000100100001000100010000100
L,1000000010000000100000001000000010000000100000001000000011111110
M,1000000111000011101001011001100110000001100000011000000110000001
N,1000000111000001101000011001000110001001100001011000001110000001
O,0111111010000001100000011000000110000001100000011000000101111110
P,1111110010000010100000101111110010000000100000001000000010000000
Q,0000000001111110100000011000000110001001100001010111111000000001
R,1111110010000010100000101111110010010000100010001000010010000010
S,0111111010000001100000000111111000000001100000011000000101111110
T,1111111100011000000110000001100000011000000110000001100000011000
U,1000000110000001100000011000000110000001100000011000000101111110
V,1000000110000001100000011000000101000010010000100010010000011000
W,1000000110000001100000011000000110011001101001010100001001000010
X,1000000101000010001001000001100000011000001001000100001010000001
Y,1000000101000010001001000001100000011000000110000001100000011000
Z,1111111100000110000010000001000000100000010000001000000011111111
